id,streetName,latitude,longitude
455,(PK) AV. DEL LITORAL,41.388966,2.19917
456,(PK) C/ DE FLOS I CALCAT,41.389853,2.128581
457,(PK) C/ DE JOSEP BALARÍ,41.401519,2.134235
458,(PK) AV. JOAN XXIII,41.384344,2.122085
459,(PK) C/ D'ALÍ BEI,41.393941,2.181443
460,(PK) AV. FRANCESC CAMBÓ,41.385702,2.177316
461,(PK) AV. JOSEP TARRADELLAS,41.384111,2.14274
462,(PK) AV. JOSEP TARRADELLAS,41.390125,2.143221
463,(PK) C/ DE L´ABAT SAFONT,41.375244,2.169795
464,"(PK) C/ DE RAMON ALBÓ, 77s",41.427727,2.177205
465,(PK) RDA. DEL GENERAL MITRE,41.40542,2.142456
466,(PK) PG. MARAGALL,41.415745,2.180684
467,(PK) C/ DEL DR. AIGUADER,41.38582,2.194135
468,(PK) C/ DE LES MONGES,41.430201,2.187974
469,(PK) RAMBLA DEL POBLENOU,41.404362,2.197132
470,(PK) C/ CARDENAL DE SENTMENAT,41.397921,2.125411
471,(PK) C/ MARQUÈS DE MULHACÉN,41.39415,2.114973
472,(PK) C/ DEL TORRENT DE L´OLLA,41.407353,2.151341
473,(PK) PG. DE GARCIA FÀRIA,41.404459,2.214978
474,(PK) PL. GAL·LA PLACÍDIA,41.3989,2.153668
475,(PK) C/ DE LA MARINA,41.408528,2.169385
476,(PK) C/ DE BADAJOZ,41.402459,2.19042
477,(PK) PG. DE COLOM,41.376648,2.178745
478,(PK) C/ DEL BALUARD,41.3798,2.1891
479,(PK) C/ DE LA MARINA,41.387298,2.196595
480,(PK) C/ DELS FLORISTES DE LA RAMBLA,41.381516,2.170239
481,(PK) C/ DE VALÈNCIA,41.383036,2.150337
482,(PK) PL. D'ERNEST LLUCH I MARTIN,41.41306,2.22123
483,(PK) C/ DE SIRACUSA,41.401752,2.160748
484,(PK) RAMBLA CATALUNYA - RDA. UNIVERSITAT,41.388101,2.166997
485,(PK) PLAÇA URQUINAONA,41.389914,2.173239
486,(PK) PG. DE GRÀCIA - DIAGONAL,41.396934,2.159445
487,(PK) PL. DE FERRER I CAJIGAL,41.38921,2.154
488,(PK) C/ DE CIENFUEGOS,41.423976,2.184391
489,(PK) PLAÇA CANONGE RODÓ,41.409532,2.188282
491,(PK) C/ DE CARRERAS I CANDI,41.37252,2.12898
492,PL. DE TETUAN,41.394232,2.175278
493,PL. SANT MIQUEL,41.38186,2.177086
494,RAMBLA CATALUNYA,41.389481,2.165357
495,C/ DIPUTACIÓ - TARRAGONA,41.377191,2.149283
496,C/ DE PROVENÇA,41.404871,2.175141
10,Carrer Comerç,41.38498,2.18417
52,Plaça de Sant Miquel,41.381766,2.17738
77,Casanova,41.39005,2.152905
411,Rambla Catalunya (Diputació),41.389499,2.165387
